day,w_temp_4C,w_temp_6C,w_temp_8C,w_temp_10C,w_temp_12C,w_temp_14C,w_temp_16C,w_temp_18C,w_temp_20C
56,62.737403,75.140983,93.787182,116.033539,133.99372,138.24142,126.197269,104.836376,83.732214
57,62.983512,75.656681,94.750493,117.58181,136.045796,140.416149,128.027586,106.084187,84.448545
58,63.230295,76.174851,95.720705,119.144472,138.119749,142.614689,129.876387,107.342349,85.169152
59,63.477754,76.695498,96.697846,120.721601,140.215712,144.837189,131.743779,108.610912,85.894051
60,63.72589,77.218631,97.681942,122.313274,142.333816,147.083796,133.629867,109.889924,86.623255
61,63.974704,77.744254,98.673024,123.919566,144.474195,149.35466,135.534759,111.179434,87.356779
62,64.224198,78.272377,99.671118,125.540554,146.636982,151.649929,137.458561,112.479491,88.094638
63,64.474371,78.803004,100.676254,127.176315,148.822309,153.969752,139.401379,113.790144,88.836845
64,64.725225,79.336143,101.688459,128.826925,151.030311,156.314277,141.363321,115.111443,89.583417
65,64.976762,79.871801,102.707762,130.492461,153.261121,158.683656,143.344492,116.443437,90.334367
66,65.228982,80.409984,103.734191,132.172999,155.514873,161.078036,145.345,117.786174,91.089711
67,65.481887,80.950699,104.767774,133.868616,157.791701,163.497568,147.364953,119.139704,91.849462
68,65.735476,81.493954,105.80854,135.579389,160.091739,165.942403,149.404458,120.504077,92.613635
69,65.989753,82.039754,106.856518,137.305395,162.415121,168.412689,151.463622,121.879341,93.382245
70,66.244717,82.588107,107.911734,139.046711,164.761982,170.908578,153.542553,123.265547,94.155307
71,66.500369,83.139019,108.974219,140.803414,167.132457,173.430221,155.641359,124.662743,94.932836
72,66.756711,83.692497,110.044001,142.575582,169.526681,175.977768,157.760148,126.07098,95.714845
73,67.013744,84.248549,111.121108,144.363293,171.944788,178.55137,159.899027,127.490306,96.501351
74,67.271469,84.80718,112.205568,146.166622,174.386915,181.151179,162.058106,128.920772,97.292366
75,67.529886,85.368398,113.297411,147.985649,176.853197,183.777347,164.237492,130.362428,98.087907
76,67.788998,85.932209,114.396664,149.820451,179.343769,186.430025,166.437295,131.815323,98.887988
77,68.048804,86.498621,115.503357,151.671105,181.858768,189.109365,168.657622,133.279506,99.692624
78,68.309306,87.06764,116.617518,153.537689,184.398329,191.81552,170.898583,134.755029,100.501829
79,68.570506,87.639273,117.739176,155.420282,186.96259,194.548641,173.160286,136.24194,101.315618
80,68.832403,88.213526,118.868359,157.318961,189.551685,197.308883,175.442841,137.74029,102.134007
81,69.095,88.790408,120.005097,159.233805,192.165753,200.096396,177.746357,139.250129,102.957009
82,69.358298,89.369924,121.149417,161.164892,194.804929,202.911335,180.070944,140.771507,103.78464
83,69.622296,89.952081,122.30135,163.1123,197.469351,205.753854,182.41671,142.304474,104.616915
84,69.886997,90.536886,123.460923,165.076107,200.159157,208.624104,184.783766,143.84908,105.453847
85,70.152402,91.124347,124.628165,167.056393,202.874483,211.522241,187.172221,145.405377,106.295453
86,70.418511,91.714469,125.803106,169.053235,205.615467,214.448417,189.582186,146.973413,107.141747
87,70.685325,92.307261,126.985774,171.066713,208.382247,217.402788,192.01377,148.553239,107.992744
88,70.952847,92.902728,128.176198,173.096905,211.174961,220.385507,194.467084,150.144906,108.848459
89,71.221076,93.500878,129.374407,175.143891,213.993747,223.396729,196.942238,151.748464,109.708907
90,71.490014,94.101717,130.580431,177.207748,216.838743,226.43661,199.439343,153.363965,110.574102
91,71.759661,94.705253,131.794297,179.288557,219.710088,229.505303,201.958509,154.991457,111.44406
92,72.03002,95.311492,133.016036,181.386396,222.60792,232.602964,204.499847,156.630993,112.318795
93,72.301091,95.920441,134.245676,183.501345,225.532379,235.729748,207.063468,158.282622,113.198322
94,72.572875,96.532107,135.483246,185.633483,228.483604,238.885812,209.649483,159.946396,114.082657
95,72.845373,97.146497,136.728776,187.78289,231.461733,242.07131,212.258003,161.622366,114.971814
